COD_PAI4,COD_SAL1,COD_SAL,CANTI,FOBDOL,FOBPES
DEU,3,BOG,167,63237,121212682
DEU,3,BOG,29,5000,9663850
DEU,3,BOG,12520,19992,386329406
DEU,3,BOG,30880,49408,954770074
DEU,3,BOG,13,1577361,3034913613
DEU,3,BOG,12600,2142,41303115
DEU,3,BOG,14000,2240,43208704
DEU,3,BOG,41920,71744,138340368
DEU,3,BOG,121920,195088,376271872
DEU,3,BOG,96,304,58364656
DEU,3,BOG,76,576,110585664
DEU,3,BOG,125,50,959945
DEU,3,BOG,118,754,144759706
DEU,3,BOG,32,1312,25188957
DEU,3,BOG,398,330,6335637
DEU,3,BOG,10479,3211,618796633
DEU,3,BOG,5,178,3417404
DEU,3,BOG,25,88,1689503
DEU,3,BOG,141,4926,930600216
DEU,3,BOG,41,331,62531196
DEU,3,BOG,10600,1802,345149674
DEU,3,BOG,269867,1136454,2191367426
DEU,3,BOG,43266,333942,645185962
DEU,3,BOG,3733,33574,64762903
DEU,3,BOG,20735,3500,6654270
DEU,3,BOG,3200,756175,1461247694
DEU,3,BOG,36585,654968,1260651224
DEU,3,BOG,3,3642,69757775
DEU,3,BOG,2540,1323196,2499728955
DEU,3,BOG,333,1094059,2095527787
DEU,3,BOG,120,4430,85365657
DEU,3,BOG,81,91793,175817558
DEU,3,BOG,70,300,578097
DEU,3,BOG,70,273287,523445721
DEU,3,BOG,47,225873,432630368
DEU,3,BOG,750,8330,160497442
DEU,3,BOG,5905,2794172,5351873223
DEU,3,BOG,2667,500,963495
DEU,3,BOG,2259,1965198,3735327715
DEU,3,BOG,52,40683,77922998
DEU,3,BOG,2470,9917,191599415
DEU,3,BOG,5772,2500,4816850
DEU,3,BOG,1,300,575760
DEU,3,BOG,229,100,192487
DEU,3,BOG,2,134,25726526
DEU,3,BOG,178908,123602,2368269685
DEU,3,BOG,17860,264939,509528035
DEU,3,BOG,1,13489,25836426
DEU,3,BOG,105000,22296,4308523632
DEU,3,BOG,154200,32337,6248866554
DEU,3,BOG,1,153292,295720196
DEU,3,BOG,915,32002,615937935
DEU,3,BOG,884,30386,582447232
DEU,3,BOG,12116,2780,534824488
DEU,3,BOG,515,2657,511158415
DEU,3,BOG,206,80472,155222627
DEU,3,BOG,13,35500,68046400
DEU,3,BOG,10950,5256,1014008544
DEU,3,BOG,6000,951,183376575
DEU,3,BOG,6400,1113,214311096
DEU,3,BOG,57680,89952,173449944
DEU,3,BOG,85400,14852,2859779724
DEU,3,BOG,15300,26775,516288938
DEU,3,BOG,40640,7112,13713714
DEU,3,BOG,8338,125725,242518496
DEU,3,BOG,1938,1478729,2849126313
DEU,3,BOG,50,3555175,6871335585
DEU,3,BOG,150,353889,681852092
DEU,3,BOG,1000,972,187279128
DEU,3,BOG,1000,20115,387563751
DEU,3,BOG,150,54,10347588
DEU,3,BOG,300,48,9197856
DEU,3,BOG,300,51,9772722
DEU,3,BOG,90,320,6184864
DEU,3,BOG,13,182,35110166
DEU,3,BOG,60,360,6944868
DEU,3,BOG,203,2030,39161339
DEU,3,BOG,9880,3868,746121728
DEU,3,BOG,2700,432,82939248
DEU,3,BOG,27520,49584,949717061
DEU,3,BOG,23580,37764,72502726
DEU,3,BOG,980,64862,124850918
DEU,3,BOG,1671,5061,974176707
DEU,3,BOG,375,967,18613493
DEU,3,BOG,48,1008,1940269
DEU,3,BOG,6468,4356,838473372
DEU,3,BOG,1206,3988,76763816
DEU,3,BOG,113375,61765,1188895956
DEU,3,BOG,16,773,14879245
DEU,3,BOG,32,104,20018648
DEU,3,BOG,4496,16902,325341527
DEU,3,BOG,3108,26455,509224359
DEU,3,BOG,159705,9697,1866546439
DEU,3,BOG,18,81,15591447
DEU,3,BOG,10,392,754549
DEU,3,BOG,35,1218,23444917
DEU,3,BOG,3640,5824,111551149
DEU,3,BOG,1,1400,2683520
DEU,3,BOG,200,32,6166368
DEU,3,BOG,3,324,624753
DEU,3,BOG,1,108,208251
DEU,3,BOG,11,945,1822196
DEU,3,BOG,410,103346,1984129519
DEU,3,BOG,188,311,599686
DEU,3,BOG,2,27,520628
DEU,3,BOG,1,135,260314
DEU,3,BOG,50,2106,4060895
DEU,3,BOG,59,8829,17024519
DEU,3,BOG,2,54,104126
DEU,3,BOG,2,95333,1827342944
DEU,3,BOG,1,94423,1821381901
DEU,3,BOG,8050,1288,247281832
DEU,3,BOG,1,201579,389605844
DEU,3,BOG,2340,3852,74243078
DEU,3,BOG,19220,33318,642202714
DEU,3,BOG,64708,377366,717455787
DEU,3,BOG,30,7358,141418525
DEU,3,BOG,16640,29152,558368662
DEU,3,BOG,4160,2992,57648061
DEU,3,BOG,1000,360,6944868
DEU,3,BOG,5500,1852,355563628
DEU,3,BOG,300,3,5769
DEU,3,BOG,300,1,1923
DEU,3,BOG,250,2,3846
DEU,3,BOG,1,600,1159662
DEU,3,BOG,4450,193925,373643055
DEU,3,BOG,3700,16205,312472913
DEU,3,BOG,6800,31525,605245323
DEU,3,BOG,15400,2844,544731228
DEU,3,BOG,3000,33000,63632250
DEU,3,BOG,24,3787,730561531
DEU,3,BOG,1500,255,4817358
DEU,3,BOG,16800,6562,1261997278
DEU,3,BOG,288,2376,45694994
DEU,3,BOG,1200,204,39356496
DEU,3,BOG,24840,37314,715086252
DEU,3,BOG,26000,8826,1695038726
DEU,3,BOG,800,29625,57258311
DEU,3,BOG,37800,59355,1147195634
DEU,3,BOG,1488,7440,143349456
DEU,3,BOG,2375,8265,159245061
DEU,3,BOG,1296,40384,778094682
DEU,3,BOG,250,840,16184616
DEU,3,BOG,75852,298552,5752320805
DEU,3,BOG,1276,546766,1053475923
DEU,3,BOG,134,183895,352226966
DEU,3,BOG,87729,656534,1260473062
DEU,3,BOG,77500,625374,1197822598
ABW,3,BOG,16,56748,107890433
ABW,3,BOG,19415,491625,945056133
ABW,3,BOG,1100,168,3230094
ABW,3,BOG,7600,1941,373014996
ABW,3,BOG,216,9276,178089
ABW,3,BOG,216,8575,16516046
ABW,3,BOG,8114,24035,46144556
ABW,3,BOG,58765,176932,34074401
ABW,3,BOG,2457,9817,18900995
ABW,3,BOG,44572,153905,29548067
ABW,3,BOG,80544,257681,496268007
ABW,3,BOG,2604,24443,47008533
ABW,3,BOG,403,12462,23925669
ABW,3,BOG,25,344,660442
ABW,3,BOG,117,1681,3227335
ABW,3,BOG,20,223,428135
ABW,3,BOG,212,7446,14295501
ABW,3,BOG,436,14403,27652176
ABW,3,BOG,902,2396,4600056
ABW,3,BOG,29742,42285,81353144
ABW,3,BOG,918,362,6950002
ABW,3,BOG,57471,90791,174863342
ABW,3,BOG,7011,1298,24920172
ABW,3,BOG,4124,5887,11332268
ABW,3,BOG,1139,12295,23605048
ABW,3,BOG,145911,317512,611573681
ABW,3,BOG,2166,2433,4671092
ABW,3,BOG,1136,2184,421322
ABW,3,BOG,3709,1392,26724869
ABW,3,BOG,13991,56504,108817937
ABW,3,BOG,98,4613,8856453
ABW,3,BOG,1272,2393,4609084
ABW,3,BOG,2255,100,191989
ABW,3,BOG,18416,27936,53634047
ABW,3,BOG,13982,38153,73467948
ABW,3,BOG,666,321,6162847
ABW,3,BOG,3669,7136,13700335
ABW,3,BOG,21387,66488,128063847
ABW,3,BOG,4221,7648,14708557
ABW,3,BOG,1129,1147,2205899
ABW,3,BOG,1828,6202,11906408
ABW,3,BOG,1544,2996,5769641
ABW,3,BOG,1227,2875,5529171
ABW,3,BOG,1136,2451,470565
ABW,3,BOG,9222,21203,40767828
ABW,3,BOG,3413,12543,2408118
ABW,3,BOG,52832,15797,303807645
ABW,3,BOG,2453,765,14712404
ABW,3,BOG,51,1069,2052362
ABW,3,BOG,16827,51682,9938695
ABW,3,BOG,2288,5854,1126087
ABW,3,BOG,3307,8497,16330077
ABW,3,BOG,17094,32484,62462984
ABW,3,BOG,1136,5405,10377005
ABW,3,BOG,12438,57135,109838334
ABW,3,BOG,539,1947,3738026
ABW,3,BOG,6324,23814,45784697
ABW,3,BOG,11503,29526,56777972
ABW,3,BOG,9319,22387,43053301
ABW,3,BOG,3396,723,138808047
ABW,3,BOG,192,2107,4045208
ABW,3,BOG,249,7808,15018401
ABW,3,BOG,4701,10266,19709591
ABW,3,BOG,27,636,122105
ABW,3,BOG,773,245,4716877
ABW,3,BOG,3342,14133,27133805
ABW,3,BOG,36259,106265,204656826
ABW,3,BOG,8442,6125,117593263
ABW,3,BOG,4877,473,9096689
ABW,3,BOG,2831,8317,15995171
ABW,3,BOG,7000,107106,205631738
ABW,3,BOG,500,15128,29044096
ABW,3,BOG,6421,16066,30844953
ABW,3,BOG,2700,75035,145025397
ABW,3,BOG,45,10368,199764403
ABW,3,BOG,56,16038,309010561
ABW,3,BOG,56,3255,62715387
ABW,3,BOG,101,3824,736785376
ABW,3,BOG,45,2592,49941101
ABW,3,BOG,45,1728,33294067
ABW,3,BOG,229,7786,1494826354
ABW,3,BOG,30,990,19006911
ABW,3,BOG,1,16613,3203401725
ABW,3,BOG,108,4259,8161181
ABW,3,BOG,150,36302,69562618
ABW,3,BOG,1638,6048,11589299
ABW,3,BOG,54697,172451,330454055
ABW,3,BOG,1302,11782,22576904
ABW,3,BOG,3166,5357,10265191
ABW,3,BOG,42359,66371,127181438
ABW,3,BOG,77409,171465,328564662
ABW,3,BOG,1136,2238,42885
ABW,3,BOG,5087,20703,39671503
ABW,3,BOG,636,1189,2278386
ABW,3,BOG,5151,13794,26432339
ABW,3,BOG,10388,3412,65381426
ABW,3,BOG,424,1332,2552405
ABW,3,BOG,21969,63594,121860095
ABW,3,BOG,5662,16033,30722755
ABW,3,BOG,48,255222,489998166
ABW,3,BOG,60,198,3819677
ABW,3,BOG,173,134,25850342
ABW,3,BOG,116,210,4051173
ABW,3,BOG,1175,105,20255865
ABW,3,BOG,46,6648,127390306
ABW,3,BOG,41,2056,39397483
ABW,3,BOG,46,9024,172919693
ABW,3,BOG,46,8544,163721837
ABW,3,BOG,41,1656,31732603
ABW,3,BOG,46,4932,9450797
ABW,3,BOG,92,1124,215383128
ABW,3,BOG,588,4128,79224576
ABW,3,BOG,33475,135635,2618925981
ABW,3,BOG,7600,1428,2757420
ABW,3,BOG,4510,10824,208992713
ABW,3,BOG,3733,896,173013429
ABW,3,BOG,7185,23809,459720238
ABW,3,BOG,7250,1281,247342092
ABW,3,BOG,1840,5808,11215927
ABW,3,BOG,18925,47589,91885136
ABW,3,BOG,634,2843,548911201
ABW,3,BOG,957,215356,412486422
ABW,3,BOG,1396,301978,578399602
ABW,3,BOG,61796,781099,1496093592
ABW,3,BOG,5762,173952,333182442
ABW,3,BOG,2248,50952,97591932
ABW,3,BOG,48,288,5516266
ABW,3,BOG,908,23,4405351
