COD_PAI4;COD_SAL;CANTI;FOBDOL;FOBPES
DEU;BOG;11350;16368;31530014
DEU;BOG;50;1995;38520857
DEU;BOG;2161;747215;1442775027
DEU;BOG;10;4465;8621335
DEU;BOG;105;20475;39534563
DEU;BOG;2000;360;6916392
DEU;BOG;198;4752;920144016
DEU;BOG;97;34629;669558641
DEU;BOG;13600;1632;315550464
DEU;BOG;8520;13792;266868304
DEU;BOG;68000;8160;157775232
DEU;BOG;25400;4064;78636368
DEU;BOG;136;13298089;25836537172
DEU;BOG;43000;6880;1337710976
DEU;BOG;125920;201472;3910733081
DEU;BOG;219;6935;134284486
DEU;BOG;3;101;1955693
DEU;BOG;3;12;2323596
DEU;BOG;2896;2178;421732674
DEU;BOG;164;70;1355431
DEU;BOG;42255;2691;521066403
DEU;BOG;2;73;1413521
DEU;BOG;785;3116;60336043
DEU;BOG;1076;945;182983185
DEU;BOG;198165;63235;1224438276
DEU;BOG;2;10;193633
DEU;BOG;5;178;3446667
DEU;BOG;17200;61869;1195958009
DEU;BOG;262834;370685;7210538398
DEU;BOG;1516;1965;37993668
DEU;BOG;1416;22824;441947959
DEU;BOG;11150;410277;794431663
DEU;BOG;38748;605281;1172955359
DEU;BOG;12;14209;27685952
DEU;BOG;13100;4700;9100751
DEU;BOG;51056;347300;669707169
DEU;BOG;16;4263;830637
DEU;BOG;1;829;161529
DEU;BOG;1;7103;13840053
DEU;BOG;8;71041;138421968
DEU;BOG;1;63935;124576069
DEU;BOG;1;8288;16149002
DEU;BOG;2;829;161529
DEU;BOG;1;110816;21592276
DEU;BOG;2;33744;65749509
DEU;BOG;1;34336;66903009
DEU;BOG;1;202938;395420634
DEU;BOG;8;64411;125503545
DEU;BOG;60380;8103;1572800403
DEU;BOG;13990;3632;698273792
DEU;BOG;9710;301145;582700518
DEU;BOG;135;82039;158406644
DEU;BOG;8;500;962725
DEU;BOG;176570;23313;4525076613
DEU;BOG;18880;191595;368391202
DEU;BOG;123085;174175;3380754168
DEU;BOG;3870;2500;4831775
DEU;BOG;2;204161;39420835
DEU;BOG;1;107;2066031
DEU;BOG;1;422;814827
DEU;BOG;1;2444;4719046
DEU;BOG;1;1277;2465721
DEU;BOG;1;5952;11492538
DEU;BOG;1;1299;25082
DEU;BOG;4747;3000;5836800
DEU;BOG;1355;4716;910598292
DEU;BOG;1870;6655;1284993985
DEU;BOG;18573;42667;823844303
DEU;BOG;349;18032;348174478
DEU;BOG;4408;16962;3275141694
DEU;BOG;9450;4536;87769332
DEU;BOG;4500;699;135299139
DEU;BOG;2550;306;59287032
DEU;BOG;70400;14158;273950221
DEU;BOG;43600;6624;1282148064
DEU;BOG;32020;38424;74399687
DEU;BOG;20000;35376;680195578
DEU;BOG;317800;70849;13708927255
DEU;BOG;14850;49005;948898517
DEU;BOG;5475;625;121020625
DEU;BOG;28366;4194;811794834
DEU;BOG;6425;12784;247540427
DEU;BOG;2400;442;85585786
DEU;BOG;55160;97404;188253685
DEU;BOG;103251;212134;40788277
DEU;BOG;5875;13748;265708971
DEU;BOG;45;24904;482044314
DEU;BOG;84;380608;736708651
DEU;BOG;49;283836;5493958
DEU;BOG;17;793405;1531961912
DEU;BOG;1;676;1308472
DEU;BOG;2;81702;157755941
DEU;BOG;57;3353533;6492205141
DEU;BOG;7540;27984;540849566
DEU;BOG;1665;3330;64479789
DEU;BOG;57;1463;28328508
DEU;BOG;36;1008;19518206
DEU;BOG;486;2739;530360787
DEU;BOG;2109;6786;131399354
DEU;BOG;7257;35046;678606212
DEU;BOG;26;130;2517229
DEU;BOG;124;403;78034099
DEU;BOG;3962;1432;277282456
DEU;BOG;150;1410;27302253
DEU;BOG;16065;7112;1377117896
DEU;BOG;28;126;24397758
DEU;BOG;25;98;18976034
DEU;BOG;136;332;6428616
DEU;BOG;50;174;33692142
DEU;BOG;14760;25056;486474509
DEU;BOG;1222;885369;171116152
DEU;BOG;601;168586;325827848
DEU;BOG;60;60949;117796742
DEU;BOG;123;8122031;15747847064
DEU;BOG;5;18145;351347079
DEU;BOG;6;796174;1544784565
DEU;BOG;57;710;13690369
DEU;BOG;13;130;2517229
DEU;BOG;1;287508;556595362
DEU;BOG;20840;33344;647210374
DEU;BOG;26440;42304;82112487
DEU;BOG;7320;3150;6090588
DEU;BOG;19220;1900;3653244
DEU;BOG;1;25933;503997482
DEU;BOG;200;56;10843448
DEU;BOG;216;1872;35994067
DEU;BOG;8800;1198;23196817
DEU;BOG;320;512;991401
DEU;BOG;20320;33248;638767226
DEU;BOG;71500;110882;2139286967
DEU;BOG;102020;170192;3295478754
DEU;BOG;5500;885;171365205
DEU;BOG;17250;29945;578199022
DEU;BOG;5925;1777;344007653
DEU;BOG;8700;380125;734671389
DEU;BOG;6300;939;182260839
DEU;BOG;144160;209812;4067134244
DEU;BOG;33320;5920;114416432
DEU;BOG;25200;4716;913083624
DEU;BOG;4680;14616;282215959
DEU;BOG;22530;84661;1636251613
DEU;BOG;4660;701;135688701
DEU;BOG;75160;122468;2369637824
DEU;BOG;16740;26082;504806312
DEU;BOG;449580;77505;14965207935
DEU;BOG;71820;129276;2499577315
DEU;BOG;11850;31995;619087253
DEU;BOG;229;6679;12842114
DEU;BOG;252;10059;19341043
DEU;BOG;11;88;169203
DEU;BOG;1;786475;1521168486
DEU;BOG;1750;270;5228091
DEU;BOG;320634;265526294;51368571331
DEU;BOG;116225;92055;179102208
DEU;BOG;18;70;136192
DEU;BOG;49910;124232;240029175
DEU;BOG;11;149792;289228879
ABW;BOG;58;404764;783198102
ABW;BOG;135;45259;875739021
ABW;BOG;54;157465;304686902
ABW;BOG;73;43713;84642793
ABW;BOG;43;18688;36186135
ABW;BOG;43;12438;24084073
ABW;BOG;43;18657;36126109
ABW;BOG;23;9942;19250993
ABW;BOG;15;8719;16882861
ABW;BOG;37;9344;18093068
ABW;BOG;37;8094;15672655
ABW;BOG;225;1380027;2672187681
ABW;BOG;37;6219;12042036
ABW;BOG;37;110;2129963
ABW;BOG;37;6219;12042036
ABW;BOG;37;24353;47155444
ABW;BOG;37;2053;39752855
ABW;BOG;18;102567;198603559
ABW;BOG;5;31094;60208245
ABW;BOG;37;25867;50087048
ABW;BOG;5;25219;48832306
ABW;BOG;37;13063;25294279
ABW;BOG;1;8794;17028086
ABW;BOG;4;14404;27890897
ABW;BOG;3120;574;111370924
ABW;BOG;33946;58471;113272962
ABW;BOG;6794;8256;15984194
ABW;BOG;1281;3442;6663952
ABW;BOG;8464;15296;29614126
ABW;BOG;3416;3441;665721
ABW;BOG;1828;5933;11536272
ABW;BOG;1544;2672;519525
ABW;BOG;1209;2875;5554155
ABW;BOG;9003;19566;37952484
ABW;BOG;46379;133006;258093541
ABW;BOG;8119;2295;44400753
ABW;BOG;19887;59142;114779906
ABW;BOG;2861;6967;13512812
ABW;BOG;2834;6945;13471161
ABW;BOG;39221;72502;140264623
ABW;BOG;10758;47322;91834387
ABW;BOG;7908;27802;5388789
ABW;BOG;11549;29313;56801964
ABW;BOG;17668;44814;86764601
ABW;BOG;2067;6187;12006463
ABW;BOG;9406;9768;18912822
ABW;BOG;12;1224;23515733
ABW;BOG;133;32994;63388733
ABW;BOG;47;1512;29048846
ABW;BOG;500;4450;86148885
ABW;BOG;2275;110125;2128924805
ABW;BOG;1570;23864;461415213
ABW;BOG;540;3600;6951132
ABW;BOG;66;20385;391954626
ABW;BOG;66;5247;100887217
ABW;BOG;66;27334;525567218
ABW;BOG;93;23735;456367086
ABW;BOG;122;3292;632972592
ABW;BOG;144;6048;116195386
ABW;BOG;162;43199;830613092
ABW;BOG;60;2736;526067136
ABW;BOG;61851;164247;318633224
ABW;BOG;119268;365688;71008448
ABW;BOG;3906;34233;66520313
ABW;BOG;22753;32926;6374006
ABW;BOG;61324;95264;185115486
