DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
AFG;BOG;5;1000;1893770
AFG;BOG;5;3500;6614825
DEU;BOG;40;667;12536132
DEU;BOG;135;52931;994827559
DEU;BOG;40;4465;8391878
DEU;BOG;52;105705;198670433
DEU;BOG;16;5000;9427600
DEU;BOG;10600;1590;29946378
DEU;BOG;49120;7368;1387703856
DEU;BOG;8;101633;1917132053
DEU;BOG;17150;29155;550046739
DEU;BOG;12000;1920;361348992
DEU;BOG;68800;11696;2206059536
DEU;BOG;167160;27394;5157630373
DEU;BOG;1701;6117;1153036149
DEU;BOG;51;1292;24353812
DEU;BOG;52;1092;20583872
DEU;BOG;4244;2904;547395288
DEU;BOG;1179;4386;82674784
DEU;BOG;99835;55343;1043198947
DEU;BOG;18;90;1696473
DEU;BOG;20;65;12252305
DEU;BOG;2399;8492;160071652
DEU;BOG;1289;1247;235055759
DEU;BOG;21939;147854;2787750245
DEU;BOG;9;46;8670862
DEU;BOG;225;864;16286141
DEU;BOG;35;1218;22958935
DEU;BOG;80;4500;8474130
DEU;BOG;2883;45172;8506520008
DEU;BOG;21760;37888;717511578
DEU;BOG;14695;81908;153977211
DEU;BOG;15242;44644;845838618
DEU;BOG;17690;8500;16097045
DEU;BOG;5705;19185;361673702
DEU;BOG;21782;67768;127863307
DEU;BOG;3;24;4545
DEU;BOG;45;1825;3430781
DEU;BOG;135;1575;2960811
DEU;BOG;100;687898;1293165692
DEU;BOG;48;58523;110076496
DEU;BOG;61;9345;17577104
DEU;BOG;30;1500;2819820
DEU;BOG;41;1230;23122524
DEU;BOG;164701;500;941055
DEU;BOG;28541;323288;60879656432
DEU;BOG;34329;30000;56532900
DEU;BOG;30266;7500;14115825
DEU;BOG;466;14620;27631069
DEU;BOG;10868;888442;1670164347
DEU;BOG;162;2766609;5239321126
DEU;BOG;1610;677635;127360143
DEU;BOG;90;46338;87109879
DEU;BOG;26;320;6015616
DEU;BOG;114518;426569;804420666
DEU;BOG;6705;27185;512488902
DEU;BOG;350;350;657818
DEU;BOG;43;8;1505872
DEU;BOG;40;1;188234
DEU;BOG;42;7;1317638
DEU;BOG;8;8;1503584
DEU;BOG;1;21884;41250683
DEU;BOG;7;14012;26419906
DEU;BOG;2;757;14273386
DEU;BOG;1;903;1702128
DEU;BOG;10;100966;190317881
DEU;BOG;6;32022;60378121
DEU;BOG;73;220408;415462468
DEU;BOG;12;74252;140003631
DEU;BOG;3;13918;26235012
DEU;BOG;20;802182;1512089005
DEU;BOG;2;24524;46227004
DEU;BOG;4;83044;156535449
DEU;BOG;10;477009;899147655
DEU;BOG;7;35605;6713394
DEU;BOG;44;44445;83777492
DEU;BOG;50;2500;4711075
DEU;BOG;20000;3400;6395094
DEU;BOG;316;11277;212940928
DEU;BOG;1136;3835;72405145
DEU;BOG;3;12;2258808
DEU;BOG;4113;9178;173246139
DEU;BOG;218;11274;213051116
DEU;BOG;17940;192837;363840995
DEU;BOG;123299;16733;3168845341
DEU;BOG;16190;3219;606842661
DEU;BOG;120156;6100;11521241
DEU;BOG;18040;34508;650027196
DEU;BOG;34606;7518;1423736286
DEU;BOG;98563;5300;10036981
DEU;BOG;4670;329353;619005789
DEU;BOG;17224;276838;520311484
DEU;BOG;25488;900;1694106
DEU;BOG;2655;2000;3771680
DEU;BOG;541;19752;373667027
DEU;BOG;3456;11205;211393115
DEU;BOG;6228;13714;259150152
DEU;BOG;280;1450;274198614
DEU;BOG;600;2600;49114296
